어휘,품사,뜻풀이
해상매복전,명사,유리한 해안 지형과 바다의 자연조건을 이용하여 숨어 있다가 이동하는 적의 함선을 미처 생각하지 않았던 사이에 타격하여 소멸하는 전법.
해상모티프,품사 없음,해군이나 항해를 연상하게 하는 디자인의 이미지. 닻이나 돛l 배의 형태와 네이비블루 색상 따위가 사용된다.
해상무기,품사 없음,바다에서 이동하며 적을 공격하는 기구를 통틀어 이르는 말.
해상무역,품사 없음,거래 물품을 선박으로 운송하는 무역.
해상물건운송,품사 없음,송하인이나 용선자가 보수를 지급할 것을 약정함에 따라 해상 운송인이 선박으로 물건을 인수하여 해상으로 운송하는 일.
해상 밀입국,품사 없음,허가를 받지 아니하고 바다를 통하여 나라 안으로 몰래 들어감.
해상박명종,품사 없음,일몰 시부터 48분 후까지의 시간. 일몰 후 태양이 수평선 아래 12도에 있을 때로 군사상 가치가 있다.
해상박명초,품사 없음,일출 48분 전부터 일출까지의 시간. 일출 전 태양이 수평선 아래 12도에 있을 때로 군사상 가치가 있다.
해상발사순항유도탄,품사 없음,수상함이나 잠수함에서 지상 혹은 수상의 목표에 발사하는 순항 유도탄. 이는 제2차 전략 무기 제한 협정에 의하여 사정거리 600km 이상의 에스엘시엠(SLCM) 배치가 금지된다.
해상방어구역,품사 없음,자체 방어와 중립국 함정 및 항공기의 안전을 보장하기 위하여 설정하는 구역. 이 구역에서는 전시 교전 규칙이 적용되고 선포 시는 제삼국에서 인지하게 된다.
해상버스,품사 없음,바다의 위로 다니는 버스.
해상법,명사,항해에 관한 사항을 규정한 법규를 통틀어 이르는 말. 해상 운송을 중심으로 하는 해상 기업의 조직과 해상 거리에 관한 것으로l 해사 사법ㆍ해사 공법ㆍ해상법(海商法) 따위가 있다.
해상법요의,품사 없음,국외 중립국과 교전국 사이의 해상에서의 국제 관계를 협정한 선언. 1856년 프랑스 파리에서 조인되었다.
해상보급,품사 없음,급량함l 급유함 따위가 항해 중인 배에 양식ㆍ탄약ㆍ연료 따위를 보급하는 일.
해상보급분대,품사 없음,한 척 이상의 공급함과 한 척 이상의 수급함l 그리고 대기함 및 인명 구조함 따위로 구성된 함정 집단.
해상보험,품사 없음,항해 중에 사고로 생기는 선박이나 화물의 피해를 보상하는 보험.
해상보험검사인,품사 없음,해상 보험에서l 화물에 손해가 생긴 이유 등을 조사하는 전문가.
해상보험계약,품사 없음,보험자가 사전에 합의한 방법과 범위에 따라 항해 사업 중에 발생하는 손해를 피보험자에게 보상하기로 약속하는 계약.
해상보험료,품사 없음,위험 부담을 떠맡은 보험자가 해상 보험에 가입한 사람에게서 수취하는 보험 요금.
해상보험료율,품사 없음,해상 보험의 계약자나 피보험자에게서 위험을 인수한 보험자가 수취하는 보험 요금의 정도나 비율.
해상보험법,품사 없음,해상 보험에 관한 여러 판례들을 집대성하여 1906년에 제정한 영국의 보험법.
해상보험업,품사 없음,항해 중에 생기는 선박이나 화물의 피해를 보상하는 해상 보험을 보험 가입자에게 제공하고 그 대가로 보험료를 받는 사업.
해상보험업자,품사 없음,해상 보험업에 종사하는 사람.
해상보험요율,품사 없음,해상 보험에 가입할 때 보험료를 결정하는 비율.
해상보험증권,품사 없음,해상 보험의 계약 내용을 밝히어 주는 증명서. 해상 보험자가 피보험자에게 준다.
해상봉쇄,품사 없음,적의 배나 밀수하는 배가 항만에 드나들지 못하도록 해상 교통을 차단하는 일.
해상비행,품사 없음,해안선으로부터 바다로 비행 높이의 여덟 배 이상 되는 거리나 50km 이상의 거리에 들어가서 하는 비행.
해상 사고,품사 없음,항해 중인 선박과 관련된 표류l 이탈l 전복 따위의 사고.
해상사표,명사,해상 목표 사격에 필요한 수정량을 적어 놓은 일람표.
해상상태,품사 없음,바람l 너울l 해류 따위에 의하여 생기는 해면의 요동 상태. 파도의 높이에 따라 0~9단계 등급으로 분류한다.
해상선임장교,품사 없음,해상 지휘관으로서의 자격이 있는 현역 해군 병과 장교. 소관 권한자가 구획한 어떤 해역 또는 구역의 해상 작전 부대의 지휘권을 장악하는 최선임 장교로l 구역에 있는 해상 작전 부대에 전체적으로 영향을 주는 행정 사항에 대한 책임을 진다.
해상선취득권,품사 없음,예전에l 선박에 관한 특정한 채권을 가진 사람이 그 선박 및 선박 부속물에 대하여 다른 채권자보다 먼저 그 채권을 변상받을 수 있었던 담보 물권.
해상선취특권,품사 없음,예전에l 선박에 관한 특정한 채권을 가진 사람이 그 선박 및 선박 부속물에 대하여 다른 채권자보다 먼저 그 채권을 변상받을 수 있었던 담보 물권.
해상선화증권,품사 없음,해상 화물의 인도 청구권을 표시한 유가 증권. 해상 운송인이 운송물을 수령 또는 선적하였음을 인증하고l 증권의 소지자에게 그 운송물을 인도할 것을 약속하는 증표이다.
해상소각,품사 없음,해상에서 폐기물을 태워서 처리하는 방법. 독성이 있는 폐기물을 처리하는 데에 널리 이용되지만 불완전하게 연소될 경우에 폐기물이 분해되지 않고 새로운 독성이 생기기도 한다.
해상소해기,명사,닻 기뢰를 제거하는 절단식 소해기의 하나.
해상손해,품사 없음,항해 중에 사고로 인하여 선박이나 화물이 입은 손해.
해상손해담보품질조건,품사 없음,해상 운송 중에 사고로 인하여 수출 화물의 품질이 손상될 수 있는 위험을 도착지까지 담보하는 거래 조건.
해상수송,품사 없음,가까운 바다나 거리가 먼 대양에서 다양한 크기의 선박을 이용하여 사람과 화물을 싣고 옮기는 일.
해상 수송로,품사 없음,바다를 이용한 수송로.
해상순찰,품사 없음,해상에서의 밀수 단속l 선박의 현황 및 동태 파악 등을 위한 세관의 순찰 업무.
해상시계,품사 없음,배 위에 설치한 시계. 해상 기후 조건과 배의 흔들림 및 전자기장의 영향을 막을 수 있도록 특수하게 설계되었다.
해상시운전,품사 없음,함정을 건조한 후 함정의 제 성능을 확인하기 위하여 바다에 나가 실시하는 운전.
해상시추,품사 없음,바다 밑의 지하자원을 찾아내기 위하여 바다 위에서 특수한 장치를 이용하여 바다 밑으로 구멍을 뚫는 일.
해상안전위원회,품사 없음,국제 해사 기구의 산하에서 해사 안전에 관한 이해관계가 있는 국가들로 구성된 위원회.
해상에이비엠시스템,품사 없음,함정 또는 잠수함에 설치하는 미사일 요격 체계. 설비가 한자리에 고정되어 있지 않고 계속 움직이므로 적의 제일격(第一擊) 때문에 파괴될 확률이 적다.
해상여객운송,품사 없음,운송 계약에 의하여 선박으로 사람을 운송하는 일.
해상여객운송사업,품사 없음,해상 또는 해상과 인접한 내륙 수로에서 여객선으로 사람이나 화물을 운송하는 사업.
해상열병식,명사,해군 함선 부대가 함선을 동원하여 바다에서 진행하는 열병식.
해상예보,품사 없음,바다에서 나타나는 기상학적 현상의 상태 변화를 예견하여 알려 주는 일. 주로 바다 물결l 기상 해일l 해상 바람과 안개 따위를 다룬다.
해상예식,품사 없음,한 나라의 해군이 다른 나라의 해안 포대에 이르거나 다른 나라의 함선을 만났을 때 예포(禮砲)나 깃발로 행하는 예식.
해상왕,명사,해상에서 세력을 떨친 사람. 보통 장보고를 가리키는 말로 쓰인다.
해상용왕,명사,관세음보살의 오른쪽에 있는 보처존(補處尊).
해상운송,품사 없음,배로 사람을 태워 나르거나 화물을 실어 나르는 일.
해상운송계약,품사 없음,해상 운송을 하기 위하여l 송화인과 해상 운송인 또는 수화인과 해상 운송인 사이에 체결되는 운송 계약.
해상운송고박,품사 없음,제작 장소에서 설치 장소까지의 해상 운송 기간 중 장비 보호를 위하여l 해상 바지와 구조물 사이에 추가로 필요한 지지대를 설치하고 장비를 단단히 묶어서 손상이 되지 않도록 보호하는 작업.
해상운송선화증권,품사 없음,자국의 영해를 벗어나 외국 항구까지 가는 무역선으로 운송되는 화물에 대하여 발행하는 선화 증권.
해상운송업,품사 없음,배로 사람을 태워 나르거나 화물을 실어 나르는 사업.
해상운송주선,품사 없음,선박을 가지고 바닷길을 통하여 무역 상품 등을 운반하는 일을 주선하는 일.
해상운송주선업자,품사 없음,화물 주인의 대리인으로서 화물을 해상 운송인에 의뢰하여 발송하거나l 서류를 작성하여 선적(船積)에 부수되는 관련 업무를 수행하는 사람.
해상운임,품사 없음,배를 이용하여 사람이나 화물을 운송할 때 내거나 받는 비용.
해상위치보정추진장치,품사 없음,부유식 구조물에서 앵커 링을 하지 않고 해상에서 위치를 보정할 수 있도록 도와주는 회전형 추진 프로펠러.
해상위험,품사 없음,항해와 관련하여 생기는 위험. 주로 침몰l 좌초l 충돌l 화재l 전쟁l 해적l 관의 처분l 선원의 악행 따위로 해상 보험의 대상이 된다.
해상인도,품사 없음,화물 운송 선박이 양륙항의 외항에서 화물을 내려 수화인에게 전달하는 일.
해상인명안전조약,품사 없음,배의 내항성과 인명의 안전을 유지하기 위하여 선체 및 기관의 구조l 방화l 방수l 구명l 무선 설비 따위에 관하여 기준을 정한 국제 조약. 1914년에 최초의 조약이 체결되었다.
해상인명안전협약,품사 없음,배의 구조l 구명 설비l 무선 전신 따위의 설비 기준과 항해의 안전을 위한 원조 따위를 규정한 국제 조약.
해상자위대,품사 없음,일본 자위대의 하나. 방위청에 소속되어 해상 방위를 맡는 부대로l 방위청 장관이 통괄하며 최고 지휘는 내각의 총리가 한다. 1954년에 발족하였다.
해상작전위성통신체계,품사 없음,해군이 작전 통신망 운영 능력을 강화하기 위하여 무궁화 상용 위성을 이용해 구축한 위성 통신 체계. 엠오에스시오에스(MOSCOS)를 통해 브이오아이피(VoIP) 방식의 음성 통신과 디지털 데이터 통신ㆍ영상 정보 통신 등 다양한 형태의 통신 운용 능력을 확보하였으며l 위성 통신을 링크-11/14 체계와 연동하여 엔시더블유(NCW) 운용 능력을 배가하였다.
해상재해,품사 없음,해상의 사고로 인한 기름의 유출l 사람의 생명이나 신체 및 재산상의 피해 따위를 통틀어 이르는 말.
해상전,명사,‘해전’의 북한어.
해상전력,품사 없음,바다 위에서 싸울 수 있는 병력이나 함정 따위의 힘.
해상전시공법,품사 없음,전쟁 중에 바다에서 일어나는 모든 일에 관한 국가 간의 관계를 규정한 법규. 해상 중립 관계l 중립 위반범l 해상 전투 구역l 적함(敵艦) 포획l 상선(商船) 포획l 전시 금제품 따위에 관하여 규정한다.
해상전투경계,명사,해상 이동 및 해상 전투 때에l 적의 습격으로부터 아군의 주력을 보호하고 주력의 적시 전개와 전투 진입을 위하여 조직하는 경계.
해상전투력,품사 없음,바다에서 싸울 수 있는 병력이나 함정 따위의 힘.
해상제대,품사 없음,상륙 작전 기간 중 수송 함정 구역 밖l 외해의 지정된 구역에서 요청 대기 상태로 운용되는 돌격 함선의 일부. 적의 공격에 대비하여 수송 함선을 분산시키고 소해의 필요성을 감소시키는 데에 목적이 있다.
해상제대계획,품사 없음,적의 핵무기에 의한 피해를 최소화하거나 소해 구역을 축소하기 위하여 수송선 구역에 돌격 함정의 집중을 감소하는 계획.
해상제대구역,품사 없음,수송선 구역의 외해 구역. 이곳으로부터 돌격 함정이 수송 함정 구역으로 향하고l 돌격 함정의 철수 시에도 수송선 구역에서 이곳으로 돌격 함정이 철수한다.
해상조난신호파,품사 없음,해상에서 선박이 조난 당했을 경우 조난 신호를 보내는 전파.
해상종합전술훈련장비,품사 없음,해상 전투 부대의 전투 지휘 능력과 함정 승조원의 전술 운용 능력을 향상시키기 위하여 컴퓨터와 시뮬레이터를 이용한 훈련 장비.
해상지배권,품사 없음,바다 위를 남의 간섭 없이 직접 지배할 수 있는 권리.
해상척후조,품사 없음,해상 침투 시l 본대가 상륙하기 전에 침투하여 상륙 지역을 정찰하고 상륙 지역까지 통로를 개척하여 본대를 유도함으로써 상륙의 안전을 도모하는 요원.
해상초계기,품사 없음,해상에서 대잠전l 대함전l 전자전l 기뢰전 따위의 복합 임무를 수행할 수 있는 고정익 항공기.
해상충돌,품사 없음,바다 위에서 선박끼리 맞부딪치는 일.
해상충돌예방법,품사 없음,각종 선박이나 함정 따위가 해상이나 하천에서 충돌을 피하기 위하여 각종 등화l 신호l 취해야 할 행동 따위에 관하여 규정한 것.
해상침투,품사 없음,작전 제대(諸隊) 요원이 바다를 경유하여 적 해안으로 은밀하게 이동하는 일.
해상컨테이너,품사 없음,배로 실어 나르는 컨테이너. 육상 컨테이너를 그대로 배에 싣고 항구에서 항구까지 운반하여 공장과 수요자를 직접 연결하여 주는 수송 방법이다.
해상케이블카,품사 없음,바다 위의 공중에 설치한 강철선에 운반차를 매달아 사람이나 물건 따위를 나르는 장치. 주로 바다 경치를 조망하기 위하여 관광용으로 설치한다.
해상탐사,품사 없음,해양의 대륙붕에 존재하는 가스와 석유 따위의 에너지원을 찾기 위하여 인위적으로 폭발을 일으킨 뒤에 거기에서 발생하는 지진의 충격파의 파장을 분석하여 에너지원을 추적하는 방법.
해상택시,품사 없음,바다의 위로 다니는 택시.
해상통과운송,품사 없음,한 재화가 두 가지 이상의 해상 운송 기관을 통해 운송되는 일. 예를 들어 어떤 화물이 배를 통해 부산에서 시애틀로 운송될 때l 부산에서 고베까지는 경주호가 운송하고l 고베에서 시애틀까지는 마리호가 운송하는 방식을 말한다.
해상통제권,품사 없음,바다 위에서 일어나는 모든 일을 통제할 수 있는 권리.
해상트럭,품사 없음,한 사람이 운전하도록 된 작은 화물선.
해상평시공법,품사 없음,평화 시에 바다에서 일어나는 모든 일에 관한 국가 간의 관계를 규정한 법규. 영해와 공해의 기준 및 관계l 선박의 자격 및 권리l 군함의 지위l 해적의 단속l 선박의 충돌 예방 따위에 관하여 규정한다.
해상포격,품사 없음,군함 따위를 타고 바다 위에서 대포를 쏨.
해상포위전,명사,적의 함선을 달아나지 못하도록 둘러막고 사방에서 타격하는 전법.
해상포획,품사 없음,교전 상태에 있는 한 나라가 적국의 함선이나 화물l 또는 중립을 위반한 혐의가 있는 제삼국의 배를 잡아가는 일.
해상표적,품사 없음,전탐기나 음탐기l 또는 육안으로 감지가 되었으나 그 정체가 아직 식별되지 않은 선박으로l 정확히 판단할 만한 정보를 얻지 못하고 있는 해상의 목표물.
해상풍력,품사 없음,주로 바닷속에 풍력 발전기를 설치해 얻는 풍력 발전. 육상 풍력에 비해 입지 문제에서 자유롭고l 전력이 가장 많이 필요한 한여름과 한겨울에 최대로 많은 전기를 얻을 수 있으나 건설비가 많이 드는 문제l 송전을 연결하는 문제 등의 한계가 있다.
해상풍력발전,품사 없음,주로 바닷속에 풍력 발전기를 설치해 얻는 풍력 발전. 육상 풍력에 비해 입지 문제에서 자유롭고l 전력이 가장 많이 필요한 한여름과 한겨울에 최대로 많은 전기를 얻을 수 있으나 건설비가 많이 드는 문제l 송전을 연결하는 문제 등의 한계가 있다.
해상풍력발전기,품사 없음,바다 위 설치한 풍력 발전기.
해상풍력발전단지,품사 없음,바다 위나 해안에 풍력 발전 장치가 모여 있는 구역.
해상풍력발전시스템,품사 없음,주로 바닷속에 풍력 발전기를 설치해 에너지를 얻는 발전 시스템.
해상풍력사업,품사 없음,바다 위에서 바람으로 전기를 생산하는 사업.
해상하다,동사,어버이의 삼년상을 마치다.
해상항공연계수송,품사 없음,선박을 이용한 운송과 항공기를 이용한 운송을 연계하여 화물을 수송하는 서비스.
해상호위,품사 없음,잠수함 따위의 공격으로부터 선박이 안전하게 항해할 수 있도록 보호하는 일. 함대의 전투 작전과 더불어 현대 해군의 2대 작전 가운데 하나이다.
해상화력지원작전,품사 없음,해상에서 해군의 화력으로 지상군과 상륙군의 작전을 지원하는 작전.
해상화물,품사 없음,선박으로 운송하는 화물.
해상화물운송사업,품사 없음,바다 위나 바다와 연접한 내륙 수로에서 선박으로 물건을 수송하거나 이에 수반되는 업무를 처리하는 사업.
해상화물운송장,품사 없음,화물을 배로 운송할 때 운송자가 화주로부터 화물을 받았음을 증명하는 서류.
해상화물운송주선업자,품사 없음,수출입 상인과 운송 회사 사이에서 해상 화물의 운송 서비스를 제공하는 일을 업으로 삼는 사람.
해상화열전,명사,중국 청(淸)나라 말에 한방경(韓邦慶)이 상하이(上海)의 화류계를 묘사한 장편 소설.
해상화파,품사 없음,1840년대에 중국 상하이를 중심으로 발달한 화파. 전통을 기반으로 외래 예술을 흡수하여 참신하고 개성이 있으며l 그림을 그리고 토론하는 모임을 자주 가졌다.
해새목,명사,자포동물문 산호충강의 한 목. 군체의 공육(共肉)이 줄기 부분과 뿌리 부분으로 구분되고 뿌리 부분을 바다 밑바닥의 모래 진흙 속에 박고 서 있다.
해색,명사,바다의 경치.
해색전,명사,게줄을 가지고 하는 줄다리기.
해생,명사,해년에 태어난 사람을 이르는 말.
해생물,명사,바닷속에서 사는 동식물.
해서,명사,우리나라 중서부에 있는 도. 삼국 시대에는 고구려의 땅이었으며l 조선 태종 때에 지금의 이름이 되었다. 쌀l 사과l 조기 등이 나며l 명승지로 배천 온천 등이 있다. 면적은 16l447㎢. 북한에서는 현재 황해남도와 황해북도로 나뉘어 있다.
해서계,명사,황해도에서 쓰는 탄약이나 탄알을 공물로 바치던 계.
해서교육총회,품사 없음,융희 2년(1908)에l 황해도 안악에서 최광옥이 중심이 되어 조직한 교육 계몽 단체. 구식 서당을 민족 학교로 개편하고자 하였으며 학교 설립에 주력하였다. 그러나 1910년에 있었던 안악 사건으로 조직원이 체포되면서 해체되었다.
해서국민회,품사 없음,1919년에 오두현(吳斗鉉) 따위가 황해도 장연에서 항일 투쟁을 위하여 조직한 민족 운동 단체.
해서률,명사,‘해서율’의 북한어.
해서사량,명사,한 개의 고치에서 풀려 나온 실의 양.
해서사장,명사,한 개의 고치에서 풀려 나온 실의 길이.
해서산맹,명사,영구히 존재하는 바다와 산에 맹세한다는 뜻으로l 매우 굳게 맹세함을 이르는 말.
해서암행일기,명사,조선 숙종 22년(1696)에l 황해도 암행어사인 박만정(朴萬鼎)이 쓴 일기. 당시 백성들의 생활과 관료들의 행정 실태 따위를 서술한 것으로l 조선 후기 사회와 암행어사의 활동상을 이해하는 데 귀중한 자료이다. 1책의 필사본. 보물 정식 명칭은 ‘박만정해서암행일기’이다.
해서율,명사,고치 따위에서 실이 잘 풀려 나오는 정도.
해서체,명사,중국 남북조 시대의 서풍을 따른 서체. 현재 책 따위에서 많이 활용되는 서체이다.
해서초등학교,품사 없음,대구광역시 동구에 있는 공립 초등학교. 1947년에 개교한 ‘대구 해안 국민학교 해서 분교장’이 그 전신으로l 1949년에 ‘대구 해서 국민학교’로 승격되었으며 1996년에 현재의 이름으로 바뀌었다.
해서탈춤,품사 없음,황해도 일대의 탈춤을 통틀어 이르는 말. 강령 탈춤l 봉산 탈춤 따위가 대표적이다.
해서하다,동사,바다와 같은 넓은 마음으로 너그럽게 용서하다.
해석,명사,화산의 용암이 갑자기 식어서 생긴l 다공질(多孔質)의 가벼운 돌.
해석공동체,품사 없음,의미의 성질에 대한 공통의 가정을 지니고 동일한 방법으로 텍스트를 해독하는 독자 집단. ≪이 클래스에 텍스트가 있는가≫에서 피시(Fishl S.)가 사용한 용어이다.
해석권,명사,사물이나 행위 따위의 내용을 이해하고 판단할 권리.
해석규정,품사 없음,당사자의 의사 표시 내용이 명확하지 아니할 경우에l 그 의미를 명확하게 해석하여 법률관계를 분명하게 하기 위한 규정.
해석 글,품사 없음,문장이나 사물 따위로 표현된 내용을 이해하고 설명한 글.
해석기,명사,원언어문을 하나씩 기계어로 번역하여 실행하는 프로그램.
해석기관,품사 없음,1833년에 영국의 수학자 배비지가 고안한 세계 최초의 범용(汎用) 자동 디지털 계산기. 오늘날의 컴퓨터와 유사한 기능을 갖추었으나 당시의 기술 수준이 낮아서 완성하지는 못하였다.
해석기루틴,품사 없음,계산이 수행되면서 기계어와 유사한 의사 코드로 표현된 내부 프로그램을 기계 코드로 번역하고l 서브루틴을 이용하여 지정된 연산을 수행하는 실행 루틴.
해석기운영,품사 없음,계산이 진행됨에 따라 기계적인 의사 코드로 나타나던 축적 코드를 기계 코드로 고치고l 번역됨에 따라 서브루틴의 수법으로 표현된 조작을 하는 실행 루틴.
해석기코드,품사 없음,해석기에 의해 한번에 한 문장씩 기계어로 변환되어 실행되도록 한 임시 코드.
해석기프로그램,품사 없음,저장된 의사 코드 프로그램을 기계 코드 프로그램으로 번역하여 요구된 작동을 수행하도록 하는 실행 가능한 폐쇄 서브루틴. 해석기 프로그램은 일반적으로 의사 명령어의 순서들과 서브루틴으로 시작하되 특정 의사 코드 명령어로 나타내는 피연산자들l 즉 프로그램 매개변수들로 구성된다.
해석기하,품사 없음,기하학적 도형을 좌표에 의하여 나타내고 그 관계를 로그l 미분l 적분 따위를 써서 연구하는 기하학.
해석기하학,품사 없음,기하학적 도형을 좌표에 의하여 나타내고 그 관계를 로그l 미분l 적분 따위를 써서 연구하는 기하학.
해석 남녀,품사 없음,이승호 작사l 윤일상 작곡의 대중가요. 2000년에 발표된 쿨의 앨범에 수록되어 있다.
해석다양체,품사 없음,모든 추이 사상이 해석 함수인 다양체.
해석도화기,품사 없음,입체 사진의 기하학적인 관계를 컴퓨터를 이용해 수치적으로 재현하여 피사체의 삼차원 관측이나 지형도를 작성할 수 있는 장비.
해석되다,동사,문장이나 사물 따위로 표현된 내용이 이해된 상태에서 설명되다.
해석된지도,품사 없음,각각의 방언형이 사용되는 지역을 표시한 언어 지도. 이 지도를 사용하면 방언형이 사용되는 지역의 크기를 한눈에 볼 수 있다. 조사된 자료를 방언학적 관점에 따라 분석하고 해석하여 그리기 때문에 방언학자의 설명과 예측이 가미되어 있다.
해석력,명사,문제를 파악하거나 현상을 이해하는 능력.
해석력학,명사,‘해석 역학’의 북한어.
해석론,명사,법률 따위의 의의를 해석하는 방법론. 입법론에 대용하는 개념이다.
해석론자,명사,해석론을 따르거나 주장하는 사람.
해석론적,관·명,법률 따위의 의의를 해석하는 방법론과 같은. 또는 그런 것.
해석론적코드,품사 없음,서사 전체나 일부를 해답으로 가도록 이끌어 주는 코드. 이 코드를 거칠 때 이야기의 흐름은 수수께끼 상태에서 해결의 국면으로 접어든다.
해석루틴,품사 없음,의사 명령 코드로 쓰인 프로그램을 기계어 명령으로 번역하면서 실행하는 루틴. 하나의 의사 명령이 기계어 명령에 의한 하나의 서브루틴에 대응되어 있는 것이 보통이다.
해석류,명사,바닷가에서 나는 석류.
해석모델,품사 없음,공정이나 현상의 물리적 성질을 토대로 그 계통의 입출력 관계를 수학적으로 표현한 식.
해석모형,품사 없음,공정이나 현상의 물리적 성질을 토대로 그 계통의 입출력 관계를 수학적으로 표현한 식.
해석문맥,품사 없음,토큰열 내용이 내용 프로세서에 의해 해석되는 문맥.
해석문법,품사 없음,언어의 구문 분석 시스템에서 형태소를 기반으로 중간 구조를 생성해 가는 절차.
해석방법,품사 없음,프로그램 내 단위 작업 매크로에 호출 부호를 부여하고 해석하여 처리하는 방법.
해석법,명사,해석하는 방법.
해석법규,품사 없음,법률 행위에서l 당사자의 의사 표시가 있는 경우에l 분명하지 아니한 부분을 해석하여 법률관계를 확정하는 데 적용하는 임의 법규.
해석법학,품사 없음,재판에 의한 법의 구체적 실현을 위하여 실정법의 의미와 내용을 통일적ㆍ조직적으로 해석하는 학문.
해석부루틴,품사 없음,해석기처럼 어떤 명령어를 한 줄 단위로 기계어로 바꾸는 방식으로 프로그램을 처리하는 부프로그램.
해석부호,품사 없음,어떤 프로그램을 줄 단위로 기계어로 바꿀 때에 대응하는 부호.
해석비평,품사 없음,문예 작품의 자구(字句)를 역사적ㆍ전기적으로 올바르게 해석하려는 객관적인 비평.
해석사진측량,품사 없음,입체 도화기로 입체상을 관측하는 대신에l 좌우 사진의 좌푯값을 측정한 뒤 전자 계산기를 써서 여러 가지 필요한 자료를 얻어 측량하는 방법.
해석성,명사,통계 품질 측정 기준의 하나. 통계 자료가 이용자들이 만족할 수 있도록 제공되고 있는지l 이용자가 자료를 쉽게 이해하고 활용하며 분석할 수 있는지를 측정한다.
해석소,명사,해석자의 마음 안에 심리적 사건이 연속되는 과정. 하나의 기호를 해석하고 설명하는 다른 하나의 기호는 무한히 계속된다. 퍼스의 용어이다.
해석수학,명사,‘해석학’의 북한어.
해석시스템,품사 없음,의사 코드로 쓰인 프로그램과 그것을 번역하여 실행시키는 컨트롤 루틴을 합친 것. 주기억장치에 제어 루틴이 들어 있어 의사 코드로 쓰인 프로그램을 읽어 넣고 해독하여 실행에 옮긴다.
해석신호,품사 없음,허수부가 실수부의 힐버트 변환인 실변수의 복소함수. 실신호에 대응하는 해석 신호는 실수부가 그 실신호이다. 해석 신호의 푸리에 변환은 음(－)의 주파수 영역에서는 0이 된다.
해석신화학,품사 없음,개개의 신화가 성립한 계기를 규명하여 그 근본 의미를 밝히는 것을 목적으로 하는 신화학.
해석실행,품사 없음,저장된 프로그램을 줄 단위로 기계어로 바꾸는 과정.
해석실행프로그램,품사 없음,프로그램의 실행을 다루는 특수한 프로그램. 원시 언어로 된 명령을 컴퓨터 명령어 순서로 번역하고l 다음 명령이 번역되기 전에 실행시키는 프로그램이다.
해석언어,품사 없음,원시 언어로 된 프로그램이 목적 언어로 번역되지 않고 해석기에 의해 직접 수행되도록 설계된 언어. 해석 언어는 컴파일 언어에 비해 많은 융통성을 갖지만 실행 속도가 늦다. 일반적으로 에이피엘l 리스프 따위가 이에 속한다.
해석엔진,품사 없음,1833년에 영국의 수학자 배비지가 고안한 세계 최초의 범용(汎用) 자동 디지털 계산기. 오늘날의 컴퓨터와 유사한 기능을 갖추었으나 당시의 기술 수준이 낮아서 완성하지는 못하였다.
해석역학,품사 없음,일반화 좌표와 운동량을 도입하여 일종의 변분 원리를 기초로 하여 전개된 고전 역학의 체계. 이 형식은 양자 역학에 승계되어 그 발전에 큰 구실을 하였다.
해석용프로그램,품사 없음,대상으로 하는 프로그램의 정적 및 동적인 여러 특성을 분석하는 프로그램. 원시 코드의 구문이나 명령의 실행 빈도l 실행 경로의 분석 따위를 행한다. 통상 프로그램을 세그먼트라고 하는 몇 개의 작은 부분으로 분할하고l 각 부분에 관한 통계적 정보를 구하는 경우가 많다.
해석자,명사,문장이나 사물 따위로 표현된 내용을 이해하고 설명하는 사람.
해석자질,품사 없음,사물의 행위나 내용을 판단하는 특성.
해석적,관·명,수식이나 기호를 쓰는. 또는 그런 것.
해석적다양체,품사 없음,계량과 좌표 함수가 해석 함수인 미분 다양체.
해석적대입,품사 없음,직접적인 해법이 불가능한 함수 대신에 비슷한 식으로 대치하는 방법.
해석적루틴,품사 없음,의사 코드로 쓰여진 명령어를 해석하는 컴퓨터 루틴.
해석적명령어,품사 없음,프로그램 부호를 새로운 것으로 변환하거나 해석하는 것.
해석적설명,품사 없음,사물을 자세히 풀어 분석적으로 잘 밝혀 말하는 일.
해석적수론,품사 없음,정수론적인 문제를 해석학으로 풀고자 하는l 정수론의 한 분야.
해석적수행,품사 없음,다중 프로그래밍 환경에서 연산을 대화식으로 처리하는 것.
해석적오류,품사 없음,어떤 문제의 진리를 확증하는 과정에서 논증의 규칙이나 사유의 법칙을 위반하는 데서 오는 오류.
해석적오류수정기,품사 없음,어셈블리 언어 프로그램의 오류를 수정하기 위한 루틴들의 집합체. 프로그래머가 카세트나 디스크로부터 프로그램을 기억 장치에 적재하거나 덤프를 할 수 있도록 해 주며l 그 외에 기억 장치의 큰 블록들의 디스플레이l 메모리 번지 수정l 여러 가지 디스플레이 형식을 통한 기억 장치 번지 부분 조사l 프로그램 수정l 그리고 여러 프로그램 흐름에 대한 브레이크 포인트 설정 따위를 할 수 있도록 한다.
해석적이해,품사 없음,어떤 행위의 주체가 행위를 통하여 무엇을 표현하고 있는지 그 주관적 의미와 동기에 주목하는 방법의 이해.
해석적전손,품사 없음,해상 보험의 목적물의 손해 정도가 너무 크기 때문에 도저히 원상회복의 가망이 없거나l 원상회복 비용이 그 물건의 가액(價額)을 초과하게 되는 경우에 전손으로 간주하는 일. 이런 경우에는 보험금의 전부를 청구할 수 있다.
