어휘,품사,뜻풀이
동계발생,품사 없음,공통 조상에서 유래된 상태를 이르는 말.
동계방학,품사 없음,겨울에 한창 추울 때에 학교에서 일정 기간 수업을 쉬는 일.
동계번식,품사 없음,동일한 계통 내의 교잡에 의한 번식. 호모 접합자의 출현율을 높여 집단 내 형질을 균일화하는 것이 주목적이다. 자식 약세를 유발한다.
동계번식계,품사 없음,근친 교잡을 되풀이하여 만든 계통. 동계 교배를 되풀이함에 따라 유전자적으로 동형 접합도가 높아진 계통이다.
동계번식양식,품사 없음,동일 계통끼리의 교잡에 의한 번식 양식. 자연계에 있어 식물의 폐쇄화l 자웅예의 길이가 같은 꽃l 화분을 방산한 후 개화하는 꽃 따위에서와 같이 타식을 제한하고 자식을 원칙으로 하는 번식 양식을 이른다.
동계색,명사,같은 색상이나 비슷한 색상에 명도와 채도의 변화를 준 색.
동계소양,품사 없음,겨울철 건조한 기후 때문에 피부에 생기는 가려움증. 흔히 피부가 갈라지는 것처럼 보이는 습진이 발생한다.
동계소재,품사 없음,사계 소재의 하나. 겨울철에 지키던 금육재이나 지금은 폐지되었다.
동계 수련회,품사 없음,겨울철에 여럿이 함께 몸과 마음을 단련하기 위하여 갖는 여행이나 행사.
동계수분,품사 없음,자가 불화합성l 자웅 이주성l 인공 교배 따위에 의한 형매 간 꽃가구받이.
동계스포츠,품사 없음,스키l 스케이트l 스노보드 등 주로 겨울철에 즐기는 스포츠.
동계스포츠참가자,품사 없음,겨울 동안 개인의 건강 증진l 자기 개발l 친목 도모 따위를 위하여 스포츠 활동을 즐기는 사람.
동계스포츠참여자,품사 없음,겨울 동안 개인의 건강 증진l 자기 개발l 친목 도모 따위를 위하여 스포츠 활동을 즐기는 사람.
동계아시아경기대회,품사 없음,아시아 올림픽 평의회가 주최하여 겨울에 아시아 지역에서 열리는 국제 운동 경기 대회. 4년에 한 번씩 국제 올림픽 대회의 중간 해에 개최된다. 제1회 대회는 1986년 3월 1일부터 8일 동안 일본 삿포로(札幌)에서 열렸다. 스피드 스케이팅l 쇼트 트랙l 피겨 스케이팅l 스키l 바이애슬론l 아이스하키 따위의 종목에서 메달을 겨룬다.
동계아시안게임,품사 없음,아시아 올림픽 평의회가 주최하여 겨울에 아시아 지역에서 열리는 국제 운동 경기 대회. 4년에 한 번씩 국제 올림픽 대회의 중간 해에 개최된다. 제1회 대회는 1986년 3월 1일부터 8일 동안 일본 삿포로(札幌)에서 열렸다. 스피드 스케이팅l 쇼트 트랙l 피겨 스케이팅l 스키l 바이애슬론l 아이스하키 따위의 종목에서 메달을 겨룬다.
동계어,명사,같은 기원(起源)l 즉 동일한 조어(祖語)로부터 퍼져 나온 언어.
동계올림픽,품사 없음,4년마다 겨울에 열리는 국제 올림픽 경기 대회. 눈과 얼음 위에서 할 수 있는 동계 스포츠 종목을 중심으로 대회를 개최한다.
동계올림픽경기,품사 없음,종전의 올림픽 대회에서 피겨 스케이팅l 아이스하키 따위의 동계 경기를 독립시켜 하계 대회와 병행하여 치르는 경기. 1924년 8회 하계 올림픽 경기 이후 계속 개최되고 있다.
동계요구량,품사 없음,식물이 겨울과 같은 저온 기간을 필요로 하는 정도. 온대 지방에서 자라는 일부 식물은 휴면 타파 되는 데 저온 기간을 필요로 한다.
동계 운휴,품사 없음,계절이 겨울인 때에 교통 기관l 놀이 기구 따위가 운행을 멈추고 쉬는 것을 이르는 말.
동계응집반응,품사 없음,특정 종류의 동물 세포가 동일한 종(種)이나 유전적으로는 차이가 있는 동물의 ‘응집소’에 의해 응집되는 반응.
동계응집소,품사 없음,같은 종(種) 안에서 유전적으로 차이가 있는 개체의 세포를 응집시키는 물질.
동계응집현상,품사 없음,특정 종류의 동물 세포가 동일한 종(種)이나 유전적으로는 차이가 있는 동물의 ‘응집소’에 의해 응집되는 현상.
동계이식,품사 없음,유전적으로 동일한 개체를 대상으로 조직이나 기관을 이식하는 일.
동계이식편,품사 없음,유전적으로 동일한 개체를 대상으로 조직이나 기관을 이식하는 일.
동계자음탈락,품사 없음,평음 ‘ㄱ’l ‘ㄷ’l ‘ㅂ’이 그것과 조음 위치가 같은 경음과 격음 앞에서 수의적으로 탈락하는 음운 현상. 예를 들어l ‘ㄲ’l ‘ㅋ’ 앞의 ‘ㄱ’l ‘ㄸ’l ‘ㅌ’ 앞의 ‘ㄷ’l ‘ㅃ’l ‘ㅍ’ 앞의 ‘ㅂ’이 수의적으로 탈락하는 것이다.
동계전정,품사 없음,휴면 기간인 동절기에 실시하는 전정. 주로 가을부터 이듬해 봄까지 실시한다.
동계조화,품사 없음,같은 색상이나 비슷한 색상에 명도와 채도의 변화를 준 색들을 사용하여 아름답고 조화롭게 만든 배색.
동계 캠프,품사 없음,겨울철에 휴양이나 훈련 따위를 목적으로 진행되는 캠프.
동계특수올림픽대회,품사 없음,4년마다 겨울에 열리는 특수 체육 올림픽. 알파인 스키l 크로스컨트리l 플로어 하키l 피겨 스케이팅l 스피드 스케이팅의 다섯 종목에서 겨룬다. 1977년을 기점으로 시작되었으며l 참가 선수나 팀은 연령ㆍ성별ㆍ능력ㆍ장애에 따라 등급을 나눈다.
동계패럴림픽,품사 없음,4년마다 겨울에 열리는 국제 신체 장애인 체육 대회. 1976년 제1회 대회를 스웨덴의 외른셸스비크에서 개최하였다.
동계피소,품사 없음,겨울철에 낮과 밤의 급작스러운 온도 변화 때문에 나무의 껍질이 세로 방향으로 찢어져 피해를 입는 현상. 주로 나무의 남서쪽 면에서 피해가 크다.
동계 훈련,품사 없음,겨울철에 하는 훈련. 필요한 기능이나 기술 따위를 익힌다.
동계휴한,품사 없음,겨울철에는 농사를 짖지 않고 땅을 쉬게 하는 방식의 농법. 우리나라 벼농사가 대표적인 예이다.
동고,명사,같은 까닭.
동고개,명사,뚱뚱하게 살진 뒷덜미
동고곡선,품사 없음,지도에서 해발 고도가 같은 지점을 연결한 곡선. 평면도에 땅의 높고 낮음을 표시하는 가장 좋은 방법이다.
동고궤양,품사 없음,수목의 주간이나 주지가 병원균의 침해를 받아 그 표면에 균열이나 함몰부가 생기고 회갈색 또는 암갈색으로 변하여 시드는 병.
동고도리,명사,전라북도 익산시 금마면에 있는 이. 금마면의 동남부에 위치해 있으며l 대부분 구릉 지대와 평지이다. 금마 저수지에서 발원하는 익산천이 마을의 서쪽 경계를 따라 흐른다. 하천 주변에 농경지와 주거지가 형성되어 있다. 주로 주곡 농업을 한다. 문화재로 고도리 석불 입상과 익산 향교가 있다. 1번 국도와 720번ㆍ722번 지방도가 지난다.
동고동락,명사,괴로움도 즐거움도 함께함.
동고동락하다,동사,괴로움도 즐거움도 함께하다.
동고랑곤떡,명사,‘절편’의 방언
동고랑방석,명사,‘도래방석’의 방언
동고랑방제,명사,‘도래방석’의 방언
동고량,명사,‘도시락’의 방언
동고령,명사,‘도시락’의 방언
동고롬허다,형용사,‘동그스름하다’의 방언
동고리,명사,키버들로 동글납작하게 만든 작은 고리.
동고리낭,명사,‘민둥인가목’의 방언
동고리다,동사,동그라미를 그리다.
동고림,명사,‘동그라미’의 옛말.
동고매다,동사,‘동여매다’의 방언
동고박,명사,‘소꿉’의 방언
동고박질,명사,‘소꿉질’의 방언
동고병,명사,식물에 생기는 병의 하나. 자낭균 및 불완전균의 침입으로 밤나무l 뽕나무 따위의 과실나무나 임목의 줄기l 또는 큰 가지의 일부에 갈색 또는 검은색의 작은 돌기가 생기는 병이다. 병반(病斑)이 진행되면 병든 부위 위쪽의 가지나 줄기가 말라 죽는다.
동고비,명사,동고빗과의 새. 편 날개의 길이는 7~8cm이며l 몸은 검은 회색이고 가슴과 배는 누런색이다. 부리는 굵고 길며 꽁지는 짧고 몽땅하며 밤색 반점이 있다. 4~6월에 일곱 개 정도의 알을 낳으며 곤충을 잡아먹는다. 아시아l 유럽l 아프리카 등지에 분포한다.
동고빗과,명사,조강 참새목의 한 과. 작은 새로 부리는 곧은 것과 다소 굽은 것이 있다. 나무에 잘 기어오르며 나무의 빈 구멍에 한 배에 4~8개의 알을 낳는다. 동고비l 쇠동고비 따위가 있다.
동고사,명사,마을 사람들이 마을을 지켜 주는 신인 동신(洞神)에게 공동으로 지내는 제사. 마을 사람들의 무병과 풍년을 빌며 정월 대보름날에 서낭당l 산신당l 당산(堂山) 따위에서 지낸다.
동고사굿,명사,마을 사람들이 마을을 지켜 주는 신인 동신(洞神)에게 공동으로 지내는 제사. 마을 사람들의 무병과 풍년을 빌며 정월 대보름날에 서낭당l 산신당l 당산(堂山) 따위에서 지낸다.
동고서저,명사,지형이나 기압 따위가 동쪽 지역은 높고 서쪽 지역은 낮은 상태. 기상학에서는 여름과 가을에 형성되는 기압 배치를 이른다.
동고서저형,명사,지형이나 기압 따위가 동쪽 지역은 높고 서쪽 지역은 낮은 상태. 기상학에서는 여름과 가을에 형성되는 기압 배치를 이른다.
동고선,명사,지도에서 해발 고도가 같은 지점을 연결한 곡선. 평면도에 땅의 높고 낮음을 표시하는 가장 좋은 방법이다.
동고정위,품사 없음,태아 머리와 골반의 각 평면이 나란한 상태.
동고지,명사,‘고드름’의 방언
동고지인,명사,함께 고생한 사람.
동고츠산맥,명사,인도 데칸반도의 벵골만 연안을 따라 뻗은 산맥. 남북으로 뻗어 내린 서고츠산맥이 연속적인 데 비하여 구릉성 산지로 되어 있으며l 길이는 약 800km에 이르고 높이는 460~610미터 정도이다. 닐기리 구릉에서 서고츠산맥과 합쳐진다.
동고트왕국,품사 없음,493년에 테오도리크가 이탈리아에 건설한 왕국. 555년에 동로마 제국에 멸망하였다.
동고트족,명사,고대 게르만 민족의 한 갈래. 2~3세기에 흑해 북쪽 연안 서부에 정착하였으나 훈족에게 패하여 훈 제국에 병합되었으며l 493년에 이탈리아에 동고트 왕국을 세웠으나 555년에 동로마 제국에 멸망하였다.
동고파리,명사,‘소꿉질’의 방언
동고하다,동사,함께 고생하다.
동고향,명사,고향이 같음. 또는 같은 고향.
동고?,명사,‘쑥갓’의 옛말.
동곡,명사,어린이들이 연주하기에 적합하도록 만든 악곡(樂曲).
동곡리,명사,전라남도 광양시 옥룡면에 있는 이. 옥룡면의 북부에 위치해 있다. 사방이 높은 산지로 둘러싸여 있으며l 동쪽에 백운산이 솟아 있다. 마을 북쪽에 위치한 계곡에서 발원한 광양동천이 동곡천 등과 합류하며 남쪽으로 흐른다.
동곡천,명사,경상북도 청도군 금천면 김전리에서 발원해 신지리 동창천으로 흘러 들어가는 지방 하천.
동곡초등학교,품사 없음,광주광역시 광산구에 있는 공립 초등학교. 1932년에 개교하였다.
동골락하다,형용사,‘동그랗다’의 방언<DR /> 제주 지역에서는 ‘동골락?다’로도 적는다.
동골무문,품사 없음,중국 송나라의 여요(汝窯)에서 나던l 구릿빛에 무늬가 없는 도자기.
동골어자문,품사 없음,중국 송나라 여요(汝窯)에서 나던 도자기. 구릿빛에 잔금이 있도록 잿물을 입혔다.
동골태,명사,황갈색의 구릿빛을 띤 도자기.
동곱질,명사,‘소꿉질’의 방언
동곱질하다,동사,‘소꿉질하다’의 방언
동곳,명사,상투를 튼 뒤에 그것이 다시 풀어지지 아니하도록 꽂는 물건. 금ㆍ은ㆍ옥ㆍ산호ㆍ밀화ㆍ나무 따위로 만드는데l 대가리가 반구형이고 끝은 뾰족하여 굽은 것과 굽지 않은 것l 또는 말뚝같이 생긴 것 따위가 있다.
동곳(을) 빼다,품사 없음,(비유적으로) 힘이 모자라서 복종하다.
동곳잠,명사,옥비녀의 하나. 동곳 모양과 같이 대가리가 반구형으로 되어 있고 그 아래는 조금 가늘며 굽은 듯한 모양을 하고 있다.
동공,명사,같은 재주나 솜씨.
동공가장자리,품사 없음,동공의 경계를 이루는 홍채 안쪽의 가장자리.
동공강직,품사 없음,눈동자의 반사 신경이 굳어서 빛에 따른 조절이 잘 안되는 상태. 홍채의 질병이나 신경 매독l 당뇨병 따위가 원인이다.
동공거리계,품사 없음,동공 사이의 거리를 측정하는 기구.
동공견,명사,누에 두 마리가 같이 지은 고치.
동공경직,품사 없음,눈동자의 반사 신경이 굳어서 빛에 따른 조절이 잘 안되는 상태. 홍채의 질병이나 신경 매독l 당뇨병 따위가 원인이다.
동공계,명사,동공의 크기를 재는 기구.
동공과다증,품사 없음,한 눈에 둘 이상의 동공이 존재하는 상태.
동공괄약근,품사 없음,홍채 중앙의 동공 주위에 둥근 모양으로 뻗어 있는 평활근. 수축에 의하여 동공을 축소시키는 작용을 한다.
동공동요,품사 없음,눈의 조명이나 조절에 상관없이 비정상적으로 항진된 동공의 율동적 수축과 확대.
동공막존속,품사 없음,배아 때의 동공막이 흡수되지 않고 출생 이후까지 남아 동공이 없는 선천 기형.
동공 미인,품사 없음,큰 눈에 동공이 맑고 또렷한 사람.
동공반사,품사 없음,망막에 빛이 들어가면 눈동자가 작아지는 반응.
동공부동증,품사 없음,왼쪽과 오른쪽 동공의 크기가 서로 다른 증상.
동공부등,품사 없음,두 동공의 크기가 같지 아니한 상태. 선천적인 경우와 홍채염이나 진행성 마비로 인한 후천적인 경우가 있다.
동공사이거리,품사 없음,양 눈의 동공과 동공 사이의 거리.
동공산대,명사,검은색 눈동자가 크게 확대되는 상태. 부교감 신경 억제제나 교감 신경 흥분제를 넣으면 일어난다.
동공산대근,품사 없음,동공 가장자리에서 섬모체 가장자리로 부챗살처럼 퍼진 근육. 교감 신경 자극으로 수축을 일으켜서 동공을 커지게 하여 더 많은 빛이 망막에 도달하게 한다.
동공성형,품사 없음,일그러지고 줄어든 동공을 교정하는 수술.
동공성형술,품사 없음,인공으로 동공을 만들어 주는 수술. 외상 따위로 동공이 다친 경우에 하는 시술이다.
동공수축,품사 없음,동공 조임근의 작용에 의하여 동공이 축소되는 현상.
동공없음증,품사 없음,눈의 동공이 선천적으로 없는 상태.
동공 연기,품사 없음,동공으로 감정을 표현해 내는 연기.
동공예,명사,동을 재료로 하는 공예.
동공이곡,명사,재주나 솜씨는 같지만 표현된 내용이나 맛이 다름을 이르는 말. 한유(韓愈)의 ≪진학해(進學解)≫에 나오는 말이다.
동공이상,품사 없음,동공이 비정상적인 형태나 모양을 보이는 현상.
동공이체,명사,재주나 솜씨는 같지만 표현된 내용이나 맛이 다름을 이르는 말.
동공일체,명사,같은 공로를 세워 같은 지위에 있음.
동공정위,품사 없음,태아 머리와 골반의 각 평면이 나란한 상태.
동공조임근,품사 없음,홍채 중앙의 동공 주위에 둥근 모양으로 뻗어 있는 평활근. 수축에 의하여 동공을 축소시키는 작용을 한다.
동공 지진,품사 없음,당황하여 눈동자가 흔들리는 모습을 지진에 비유하여 이르는 말.
동공질,명사,동굴이 많은 지형.
동공차단,품사 없음,동공을 통해 후방에서 전방으로 흐르는 안구 방수 흐름의 저항이 증가되어 주변부의 홍채가 섬유주 위와 앞으로 이동하여 폐쇄각 녹내장을 야기하는 증상.
동공축소,품사 없음,동공이 작아진 것. 동공 확대근이 선천적으로 없는 경우l 교감 신경의 결손l 결막이나 각막의 자극 따위에 의해 일어난다.
동공측정,품사 없음,동공의 직경을 측정하는 것.
동공측정계,품사 없음,동공의 지름을 측정하고 기록하는 기계.
동공측정법,품사 없음,동공의 지름을 계측하는 방법.
동공폐색,품사 없음,눈동자의 폐쇄 또는 소멸. 일반적으로 시냅시스 시작 부위에서 일어나는 핵의 한 측면에서의 크로마틴 집결로 인해 발생한다.
동공피부반사,품사 없음,목의 피부를 긁은 후에 일어나는 동공의 확대.
동공확대,품사 없음,교감 신경의 지배를 받는 동공 확대근의 작용에 의하여 동공이 지름 4mm 이상으로 커지는 일. 정상적인 눈에서는 암전(暗轉)이나 놀람l 아픔 따위의 자극으로 일어나고l 병적으로는 녹내장 따위에서 일어난다.
동공확대근,품사 없음,동공 가장자리에서 섬모체 가장자리로 부챗살처럼 퍼진 근육. 교감 신경 자극으로 수축을 일으켜서 동공을 커지게 하여 더 많은 빛이 망막에 도달하게 한다.
동공확대제,품사 없음,눈의 동공을 크게 열리게 하는 데 사용하는 약물.
동공확장제,품사 없음,동공을 확장시키는 약물. 동공 확대근에 작용하며 망막이나 유리체 따위를 검사하기 위해 사용한다.
동과,명사,박과의 한해살이 덩굴성 식물. 줄기는 굵고 단면이 사각(四角)이며 갈색 털이 있다. 잎은 어긋나고 5~7개로 얕게 갈라지며 심장 모양이다. 여름에 노란 종 모양의 꽃이 피고l 열매는 호박 비슷한 긴 타원형이고 익으면 흰 가루가 앉는다. 과육l 종자는 약용한다.
동과리,명사,‘동가리’의 방언
동과선,명사,잘게 썬 동아를 기름에 볶은 후l 잣가루에 묻혔다가 겨자를 찍어 먹는 술안주.
동과자,명사,동아의 씨를 한방에서 이르는 말. 맛이 달고 성질은 차며l 오줌을 잘 나오게 하여 부증(浮症)ㆍ소갈증(消渴症) 따위에 쓴다.
동과하다,동사,과거에 같이 급제하다.
동곽기,명사,중국 명나라 때의 전기(傳奇). 전국 시대에 서로 출세를 약속한 세 남자의 각각 다른 처세법을 내용으로 한 작품이다.
동관,명사,‘공조’를 달리 이르던 말.
동관대궐,품사 없음,서울특별시 종로구 와룡동에 있는 궁궐. 조선 태종 때에 건립된 것으로 역대 왕이 정치를 하고 상주하던 곳이며l 보물 383호인 돈화문 따위가 있다. 1997년에 유네스코 세계 문화유산으로 지정되었다. 사적 정식 명칭은 ‘창덕궁’이다.
동관리,명사,경상북도 상주시 화남면에 있는 이. 화남면의 북부에 위치해 있으며l 대부분 산지이다. 북쪽에 청계산과 형제봉이 솟아 있으며l 남동쪽에 봉황산이 솟아 있다. 북쪽에서 발원한 이안천이 북동으로 흐르며l 49번 지방도가 이안천과 나란히 지난다. 문화재로 상주 관음사지 사적비(尙州觀音寺址事蹟碑)가 있다.
동관아문,명사,‘공조’를 달리 이르던 말.
동관왕묘,명사,관왕묘 가운데 서울 동대문 밖에 있는 사당. 임진왜란 때 관우의 혼이 때때로 나타나 조선과 명나라의 군을 도왔다 하여 선조 32년(1599)에 명나라 신종 황제의 명에 따라 건립하여 2년 후에 준공하였다. 보물 정식 명칭은 ‘서울 동관왕묘’이다.
동관이,명사,여자가 남자에게 글을 써 보내어 은근한 정을 전하는 것을 비유적으로 이르는 말.
동관정,명사,고려 시대에l 사천대에 속하여 천문에 관한 일을 맡아보던 종오품 벼슬.
동관진,명사,함경북도 종성군에 있는 도시. 공주(公州) 석장리와 함께 구석기 시대의 유물이 발견된 곳으로 유명하다.
동관진유적,품사 없음,1933년에 함경북도 종성군 동관진에서 발견된 구석기 시대 유적. 우리나라에서 최초로 확인된 구석기 유적으로l 들소와 매머드 따위의 동물 화석과 함께 골각기와 석기가 발견되었다.
동광,명사,흥사단을 배경으로 주요한이 편집ㆍ발행한 종합지. 1926년에 창간하여 1933년 통권 40호까지 발행한 후 강제 폐간되었다.
동광리,명사,제주특별자치도 서귀포시 안덕면에 있는 이. 대부분이 평지로 이루어져 있으며l 당오름을 비롯하여 크고 작은 오름이 있다.
동광석,명사,구리가 든 광석. 적동석ㆍ황동석ㆍ유동석 따위가 있는데l 제련상(製鍊上)으로는 자연 동광ㆍ황화 동광ㆍ산화 동광 따위로 나눈다.
동광양,명사,전라남도에 있던 시. 1995년 1월 행정 구역 개편 때 광양군과 통합하여 광양시가 신설되면서 폐지되었다.
동교,명사,같은 재주나 솜씨.
동교각사,명사,서울 동대문 밖에 있는 모든 절.
동교리,명사,세종특별자치시 전의면에 있는 이. 전의면의 북동부에 위치해 있으며l 대부분 평지와 완만한 구릉지이다. 조천이 남서쪽 경계를 따라 흐르고l 북암천이 북서쪽 경계를 따라 흘러 조천에 합류한다. 1번 국도와 경부선이 지난다.
동교이곡,명사,재주나 솜씨는 같지만 표현된 내용이나 맛이 다름을 이르는 말.
동교이체,명사,재주나 솜씨는 같지만 표현된 내용이나 맛이 다름을 이르는 말.
동교치,명사,예전에l 서울 동대문 밖에서 소나 말에 싣고 문안으로 팔러 들여오던 땔나무.
동구,명사,외행성이 태양의 동쪽에 있어 황경(黃經)의 차이가 90도인 시기. 또는 그 자리.
동구간,명사,‘동기간’의 방언
동구계,명사,거머리류의 특수화된 체강. 척추동물의 림프관에 해당하는 기능을 가진다. 생식기l 배출기l 중추 신경계 등이 동구계 안에 존재한다.
동구교배법,품사 없음,동일한 구(區) 내에서 교배하는 방법. 옥수수 등 잡종 강세를 이용하는 경우에 같은 구 내의 자매 교배에 의하여 구 간의 비교로 우량 계통을 정하고l 계통 사이에 집단 선발을 하여 동구 교배에서 강세 현상이 남아 있는 계통을 선발하는 방법이다.
동구권,명사,동부 유럽 지역. 폴란드l 루마니아l 헝가리l 알바니아l 불가리아 등 소련의 영향권에 들었던 지역을 이른다.
동구길,명사,동네의 어귀를 드나드는 길. ⇒규범 표기는 ‘동굿길’이다.
동구깨비,명사,‘소꿉장난’의 방언
동구나무,명사,동네의 어귀에 서 있는 나무.
동구니신,명사,짚으로 만든 목이 긴 신. 비나 눈이 올 때 미끄러지 않게 하기 위해 신었다.
동구동,명사,경기도 구리시에 있던 동. 1988년에 폐지되었다.
동구라지다,동사,‘동그래지다’의 방언
동구라파,명사,‘동유럽’의 음역어.
동구람하다,형용사,‘동글하다’의 방언
동구랗다,형용사,‘동그랗다’의 방언
동구래,명사,옷깃 만듦새의 하나. 깃부리를 반원형으로 둥글게 만든다.
동구래깃,명사,옷깃 만듦새의 하나. 깃부리를 반원형으로 둥글게 만든다.
동구래미,명사,‘굴렁쇠’의 방언
동구래저고리,명사,여자 저고리의 하나. 길이가 짧고 앞섶이 좁으며 앞도련은 아주 동글고 뒷길이보다 좀 길게 만든다.
동구래지다,동사,‘동그래지다’의 방언
동구랭이,명사,‘동그라미’의 방언
동구레,명사,‘목말’의 방언
동구레바퀴,명사,‘굴렁쇠’의 방언
동구릉,명사,경기도 구리시에 있는 조선 시대의 아홉 능. 곧 건원릉l 현릉l 목릉l 휘릉l 숭릉l 혜릉l 원릉l 수릉l 경릉을 이른다. 사적 정식 명칭은 ‘구리 동구릉’이다.
동구리,명사,대나무 줄기나 버들가지를 촘촘히 엮어서 만든 상자. 음식을 담아 나를 때 쓰며l 아래위 두 짝으로 되어 있다.
동구막질,명사,‘소꿉질’의 방언
동구바리,명사,‘소꿉질’의 방언
동구박,명사,‘소꿉’의 방언
동구박질,명사,‘소꿉질’의 방언
동구불출,명사,불교에서l 수행하는 선방이나 토굴l 절 밖으로 나가지 않는 수행 방법.
동구상호경제원조회의,품사 없음,1949년에 소련의 제창으로 유럽 경제 협력 기구에 대항하여 창설된l 사회주의 여러 국가의 경제 협력 기구를 서방측에서 이르는 말. 공산권의 몰락에 따라 1991년에 해체되었다.
동구수룸이,부사,‘동그스름히’의 방언
동구수룸하다,형용사,‘둥그스름하다’의 방언
동구스럽다,형용사,‘동그스름하다’의 방언
동구스름하다,형용사,‘동그스름하다’의 방언
동구안대궐,품사 없음,서울특별시 종로구 와룡동에 있는 궁궐. 조선 태종 때에 건립된 것으로 역대 왕이 정치를 하고 상주하던 곳이며l 보물 383호인 돈화문 따위가 있다. 1997년에 유네스코 세계 문화유산으로 지정되었다. 사적 정식 명칭은 ‘창덕궁’이다.
동구우호협력상호원조조약,품사 없음,1955년 5월 동유럽 8개국이 서유럽 진영의 공동 방위 기구인 나토(NATO)에 대항하기 위하여 맺은 상호 우호와 협력에 관한 조약.
동구의자유화,품사 없음,소련의 붕괴 이후 동유럽 공산주의 국가에서 나타난 일련의 자유화 경향.
동구이,명사,‘잠자리’의 방언
동구청,명사,인천광역시 동구에 있는 구청. 인천광역시 동구의 행정 사무를 맡아본다.
동구치,명사,‘피라미’의 방언
동구파리,명사,‘소꿉질’의 방언
동국,명사,겨울에 피는 국화. 대개 12월에서 다음 해 1월에 걸쳐 노란 꽃이 피고 백려l 초상l 황금 따위의 품종이 있다.
동국대,명사,서울특별시 중구에 있는 사립 종합 대학교. 1906년에 불교계 선각자들이 모여 세운 ‘명진 학교’가 그 전신으로l 1946년에 ‘동국 대학’으로 바뀌었다가 1953년에 종합 대학으로 승격되어 현재에 이르고 있다. 서울 외에도 경기도 고양시와 경상북도 경주시에 캠퍼스가 있다.
동국대지도,명사,서울특별시 용산구 용산동 국립 중앙 박물관에 소장된 조선 시대의 지도. 18세기 작품으로l 정상기가 그린 동국지도를 원본으로 삼은 것으로 보인다. 조선과 만주의 일부가 그려져 있으며l 지형과 여러 행정ㆍ군사 정보가 상세하게 기록되어 있다. 우리나라 보물이다.
동국대학교,품사 없음,서울특별시 중구에 있는 사립 종합 대학교. 1906년에 불교계 선각자들이 모여 세운 ‘명진 학교’가 그 전신으로l 1946년에 ‘동국 대학’으로 바뀌었다가 1953년에 종합 대학으로 승격되어 현재에 이르고 있다. 서울 외에도 경기도 고양시와 경상북도 경주시에 캠퍼스가 있다.
동국명산기,명사,조선 정조 때 성해응(成海應)이 지은 지리책. 우리나라의 명산ㆍ승지(勝地)의 지리를 수록하였다. 융희 3년(1909)에 경성 외국어 학교 교우회(校友會)에서 경도(京都)l 기내(畿內)l 해서(海西)l 관서(關西)l 관북(關北)l 호중(湖中)l 호남(湖南)으로 나누어 펴냈다. 1책의 사본(寫本).
동국문감,명사,고려 충렬왕 때 김태현이 고대(古代)로부터 고려 말엽까지의 시문(詩文)을 모아 엮은 책. 우리나라 시문을 모은 책으로는 최초의 것이다. 6권 2책의 인본(印本).
동국문헌,명사,조선 초기부터 순조 때까지의 여러 명신(名臣)의 약전(略傳)을 수록한 책. 순조 4년(1804)에 김성개(金性漑)가 교정(校正)하여 전라북도 정읍 충렬사에서 간행하였다. 4권 4책의 목판본.
동국문헌비고,명사,조선 영조 46년(1770)에 왕명에 따라 홍봉한 등이 우리나라 고금의 문물 제도를 수록한 책. 중국의 ≪문헌통고≫를 참고로 하여 편찬하였으며l 그 내용은 상위(象緯)ㆍ여지(輿地)ㆍ예(禮)ㆍ악(樂)ㆍ병(兵)ㆍ형(刑)ㆍ전부(田賦)ㆍ재용(財用)ㆍ호구(戶口)ㆍ시려(市閭)ㆍ선거(選擧)ㆍ학교(學校)ㆍ직관(職官) 따위로 분류하였다. 100권 40책의 활자본.
동국문헌절요,명사,≪동국문헌비고≫의 개요를 적은 책. 4권 4책의 사본(寫本).
동국병감,명사,고조선 때부터 고려 말기까지 우리나라와 중국 또는 여진 사이에 일어난 30여 차례의 전쟁을 시대순으로 기술한 책. 조선 문종의 명에 따라 편찬하여 선조 41년(1608)에 간행한 것으로l 중국 한(漢)나라 무제 때부터 이성계가 여진의 발도(拔都)를 격퇴한 고려 우왕 때까지의 전쟁 사실을 기록하였다. 2권 2책의 활자본.
동국사략,명사,조선 태종의 명에 따라 권근l 이첨l 하륜 등이 지은 역사책. 단군 때부터 고려 말기까지의 사실을 편년체로 기록하였다. 6권 2책의 활자본.
동국세시기,명사,조선 순조 때의 학자 홍석모(洪錫謨)가 지은 민속 해설서. 예로부터 전하여 오는 우리나라의 연중행사 및 풍속을 설명하였다. 1책의 인본(印本).
동국시호,명사,조선 선조 때부터 고종 때까지 역대 문(文)ㆍ무(武) 신하에게 준 시호를 적은 책. 4책의 사본(寫本).
동국시호고,명사,조선 인조 때부터 순조 때까지 명신(名臣)들의 시호를 열거하고 주(註)를 붙인 책. 순조 때 편찬되었다. 2책의 사본(寫本).
동국신속삼강행실도,명사,조선 광해군 9년(1617)에 유근이 왕명에 따라 편찬한l ≪삼강행실도≫의 속편. 임진왜란 중에 목숨을 바친 사람들을 비롯하여 신라ㆍ고려ㆍ조선 시대의 충신ㆍ효자ㆍ열녀의 사적(事跡)을 수록하고 그 덕행을 찬양하였다. 한문으로 적고 한글로 풀이하였으며l 본문의 내용을 그림으로 보였다. 18권 18책의 목판본.
동국약운,명사,조선 태종 14년(1414)에 편찬되었다고 하는 최초의 우리말 운서(韻書). 오늘날은 전하지 않는다.
