어휘,품사,뜻풀이
부단지,명사,‘항아리’의 방언
부단체장,명사,지방 자치 단체에서 단체장 다음가는 지위. 또는 그 지위에 있는 사람.
부단초,명사,명아줏과의 두해살이풀. 높이는 1~1.5미터이며l 잎은 두껍고 연하며 타원형이다. 초여름에 누런빛을 띤 녹색 잔꽃이 이삭 모양으로 많이 핀다. 줄기와 잎은 식용한다. 유럽 남부가 원산지로 밭에서 재배한다.
부단파,명사,유량을 조절하는 수문이나 조수의 유입을 막는 갑문을 갑자기 열었을 때l 상류 쪽으로 층층이 상승하여 전달되는 파동.
부단하다,형용사,꾸준하게 잇대어 끊임이 없다.
부단히,부사,꾸준하게 잇대어 끊임이 없이.
부달시변,명사,매우 완고하여 시대의 흐름을 따르려는 변통성이 없음.
부달시의,명사,매우 완고하여 시대의 흐름을 따르려는 변통성이 없음.
부담,명사,어떠한 의무나 책임을 짐.
부담감,명사,어떠한 의무나 책임을 져야 한다는 느낌.
부담공평의원칙,품사 없음,국가가 국민의 수입과 세금을 낼 수 있는 능력에 따라 세금을 공평하게 부과하여야 한다는 원칙.
부담금,명사,어떠한 일에 책임을 지고 내야 하는 돈.
부담금관리기본법,품사 없음,부담금의 설치ㆍ관리 및 운용에 관한 기본적인 사항을 규정한 법률. 부담금 운용의 공정성과 투명성을 확보하여 국민의 불편을 최소화하고 기업의 경제 활동을 촉진함을 목적으로 한다.
부담금징수세,품사 없음,개발 이익을 환수하는 방법의 하나. 개발 사업에 필요한 비용을 조달하고 토지 증가를 환수할 목적으로 부담자에 따라 개발자 부담형l 수익자 부담형l 개발권 양도제로 구분된다.
부담능력기준,품사 없음,원가 배부 기준의 하나로서 원가의 직접적인 대상이 원가를 부담할 수 있는 능력이 어떠한지에 따라 원가를 정하는 기준.
부담당자,명사,주요 담당자를 상대하여 일부 업무에 대해 담당을 하거나 주요 담당자를 대신하는 사람 또는 조직.
부담되다,동사,어떠한 의무나 책임이 지워지다.
부담량,명사,어떠한 의무나 책임을 지는 분량.
부담롱,명사,옷이나 책 따위의 물건을 담아서 말에 실어 운반하는 작은 농짝.
부담률,명사,어떠한 의무나 책임으로서 감수해야 하는 비율.
부담마,명사,부담롱을 싣고l 사람도 함께 타도록 꾸민 말.
부담면적,품사 없음,농작업을 수행할 때 작업의 적절한 시기나 기상 따위의 제약과 농장의 조건에서 기계의 능률을 충분히 활용하여 작업할 수 있는 면적.
부담변동률,품사 없음,커패시터형 계기용 변압기의 1차 측에 일정 대지 전압을 인가하였을 때l 지정된 범위의 부담 변동에 대하여 일어나는 변압비 및 2차 전압 위상각의 변화 비율.
부담부분,품사 없음,여러 채무자가 같은 의무를 지는 경우에 그 내부에서의 채무 분담의 비율.
부담부유증,품사 없음,유언에 따라 받을 사람에게 일정한 급여를 할 부담을 지우고 물려주는 일.
부담부증여,품사 없음,증여를 받는 사람에게 일정한 재물을 내야 할 의무를 부담하게 하는 증여.
부담분,명사,어떠한 의무나 책임을 진 분량.
부담상자,명사,말에 실어 나를 물건을 넣는 상자.
부담스럽다,형용사,어떠한 의무나 책임을 져야 할 듯한 느낌이 있다.
부담스레,부사,어떠한 의무나 책임을 져야 할 듯한 느낌이 있게.
부담액,명사,어떠한 일에 책임을 지고 내야 하는 돈의 액수.
부담유보,품사 없음,행정 행위를 발령하면서 사후에 부담을 추가로 변경하거나 보충할 수 있는 권한을 행정청에 유보하는 부관.
부담의사후변경의유보,품사 없음,행정 행위를 발하면서 이미 부가된 부담의 내용을 사후에 변경할 수 있는 권한을 유보하는 부관.
부담임,명사,교육 기관에서 담임을 보좌하는 직위. 또는 그런 직위에 있는 사람.
부담임교사,품사 없음,교육 기관에서 담임 교사를 보좌하는 직위. 또는 그 직위에 있는 교사.
부담자,명사,어떠한 의무나 책임을 떠맡은 사람.
부담적,관·명,어떠한 의무나 책임을 지는. 또는 그런 것.
부담적행정행위,품사 없음,행정 행위의 상대방에게 의무를 부과하거나 권리ㆍ이익을 거부하거나 침해하는 따위의 불이익한 효과를 발생시키는 행위. 명령ㆍ금지l 수익적 행정 행위의 취소ㆍ철회 따위가 여기에 해당한다.
부담제한,품사 없음,특정한 공익사업l 기타 복리 행정을 위하여 개인의 일정한 재산권에 공법상의 제한을 가하고 일정한 공법상의 의무를 부담시키는 일.
부담짐,명사,부담롱l 부담짝l 등짐 따위를 통틀어 이르는 말.
부담짝,명사,말에 실어서 운반하는 짐짝이나 농짝.
부담키다,동사,‘부둥키다’의 방언
부담틀,명사,부담롱이나 부담짝을 싣고 사람이 타기 위하여 말 등에 잡아매는 틀.
부담하다,동사,어떠한 의무나 책임을 지다.
부담행위,품사 없음,재산 행위 가운데 의무의 성립을 내용으로 하는 행위. 채권 행위는 여기에 해당하지만 채권법에서 규정하고 있는 채무 면제l 채권 양도는 처분 행위에 속한다.
부답,명사,대답하지 아니함.
부답복철,명사,전철을 밟지 않는다는 뜻으로l 앞사람의 실패를 되풀이하지 않음을 이르는 말.
부답하다,동사,대답하지 아니하다.
부당,명사,이치에 맞지 아니함.
부당가리,명사,‘부삽’의 방언
